,,cCpu0TIME,cCpu1TIME,cCpu2TIME,cCpu3TIME,cCpu4TIME,cCpu5TIME,cCpu6TIME,cCpu7TIME,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMemoryMaxUsed,cMemoryUsed,cMetricType,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,currentTime,pMetricType,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vLoadAvg,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent
2018_12_12__19_28_35.json,1,65111691,1959062063,961481790,107719752,104178318,78886455,59708197,1469782161,4758973980,54,409,0,0,186474496,6bad1904105c,150245376,148639744,Container level,25962539,94160,3,8,1544642915,Process level,1084566,536544,2300.105,585,4799,151011,2750,0,3919,13,147092,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6763,102968,11207599,895344,51488,7333,147876,unavailable,1.89,45476,5844972,26661316,32939552,VM level,25962539,94160
2018_12_12__19_28_36.json,2,89461167,1979495004,978242638,1184001956,124682922,103172505,77953291,1493034256,5983264730,142,442,0,0,186478592,6bad1904105c,2227924992,2226429952,Container level,25962539,94160,3,8,1544642916,Process level,1085810,537289,2300.105,585,4799,151134,2750,0,4007,13,147127,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896416,51488,7405,147908,unavailable,1.89,45476,5844980,24632336,32939552,VM level,25962539,94160
2018_12_12__19_28_38.json,4,113853782,1998601285,997293609,2264632091,142588779,121605585,98755991,1517307626,7207933046,194,513,0,0,186482688,6bad1904105c,3287674880,3285368832,Container level,25962539,94160,3,8,1544642918,Process level,1087058,538033,2300.105,585,4799,151256,2750,0,4060,13,147196,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896424,51488,7406,147908,unavailable,1.89,45476,5844984,23545456,32939552,VM level,25962539,94160
2018_12_12__19_28_39.json,5,133494887,2023560190,1018296041,3338310582,164343462,141216452,114878259,1543100125,8431090135,208,621,0,0,186486784,6bad1904105c,3288391680,3286310912,Container level,25962539,94160,3,8,1544642919,Process level,1088364,538777,2300.105,585,4799,151378,2750,0,4074,13,147304,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896432,51488,7407,147908,unavailable,1.89,45476,5844988,23545752,32939552,VM level,25962539,94160
2018_12_12__19_28_40.json,6,155711214,2041004625,1036779747,4420440855,184539092,160146399,130557096,1569532251,9653495464,224,725,0,0,186490880,6bad1904105c,3289149440,3285409792,Container level,25962539,94160,3,8,1544642920,Process level,1089564,539521,2300.105,585,4799,151500,2750,0,4092,13,147408,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896440,51488,7408,147908,unavailable,1.89,45476,5844992,23545432,32939552,VM level,25962539,94160
2018_12_12__19_28_41.json,7,177862986,2057696642,1056509562,5492030293,202002242,180443249,156764421,1589951772,10872152138,240,829,0,0,186494976,6bad1904105c,3289149440,3285336064,Container level,25962539,94160,3,8,1544642921,Process level,1090801,540265,2300.105,585,4799,151618,2750,0,4107,13,147511,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896488,51488,7410,147908,unavailable,1.82,45476,5844996,23545624,32939552,VM level,25962539,94160
2018_12_12__19_28_42.json,8,192132617,2078828516,1081368161,6566700863,219861870,197276568,184645745,1613420631,12087837772,253,934,0,0,186499072,6bad1904105c,3289931776,3285979136,Container level,25962539,94160,3,8,1544642922,Process level,1092057,541008,2300.105,585,4799,151738,2750,0,4120,13,147618,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896496,51488,7411,147912,unavailable,1.82,45476,5845000,23544696,32939552,VM level,25962539,94160
2018_12_12__19_28_43.json,9,207556257,2100116542,1105114057,7641327478,238459099,212877243,202890142,1642721760,13308797752,269,1040,0,0,186503168,6bad1904105c,3289931776,3285352448,Container level,25962539,94160,3,8,1544642923,Process level,1093270,541751,2300.105,585,4799,151858,2750,0,4135,13,147723,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896504,51488,7412,147912,unavailable,1.82,45476,5845004,23546504,32939552,VM level,25962539,94160
2018_12_12__19_28_44.json,10,223102250,2122124273,1124776590,8719840859,264563777,230310679,224581572,1663132141,14530289935,284,1147,0,0,186507264,6bad1904105c,3289931776,3287437312,Container level,25962539,94160,3,8,1544642924,Process level,1094473,542496,2300.105,585,4800,151981,2750,0,4150,13,147831,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896512,51488,7413,147912,unavailable,1.82,45476,5845008,23545632,32939552,VM level,25962539,94160
2018_12_12__19_28_45.json,11,239854138,2140116741,1143331469,9798836922,283571570,251768655,251599758,1686166185,15753087033,302,1251,0,0,186511360,6bad1904105c,3289931776,3286089728,Container level,25962539,94160,3,8,1544642925,Process level,1095780,543240,2300.105,585,4800,152103,2750,0,4171,13,147932,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,896520,51488,7414,147912,unavailable,1.75,45476,5845012,23546032,32939552,VM level,25962539,94160
2018_12_12__19_28_46.json,12,257482670,2162080262,1163229825,10875887314,304134377,275298965,269611975,1709722762,16971011908,324,1349,0,0,186515456,6bad1904105c,3345637376,3343994880,Container level,25962539,94160,3,8,1544642926,Process level,1097193,543979,2300.105,585,4800,152227,2753,0,4193,13,148034,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976008,51488,7737,156360,unavailable,1.75,45476,5845016,23497176,32939552,VM level,25962539,94160
2018_12_12__19_28_47.json,13,280183635,2182124590,1182991966,11953565528,321550918,297414867,287164438,1739515718,18197473356,341,1453,0,0,186519552,6bad1904105c,3567534080,3566661632,Container level,25962539,94160,3,8,1544642927,Process level,1098498,544722,2300.105,585,4800,152347,2753,0,4209,13,148138,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976016,51488,7738,156360,unavailable,1.75,45476,5845020,23274880,32939552,VM level,25962539,94160
2018_12_12__19_28_48.json,14,300836858,2204766559,1202603734,13028231169,340534153,316804378,305189564,1765128854,19421278624,357,1557,0,0,186523648,6bad1904105c,3705966592,3704070144,Container level,25962539,94160,3,8,1544642928,Process level,1099733,545466,2300.105,585,4800,152468,2753,0,4227,13,148241,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976024,51488,7739,156360,unavailable,1.75,45476,5845024,23137812,32939552,VM level,25962539,94160
2018_12_12__19_28_49.json,15,617700128,2230228265,1234532203,13853872827,363249472,341337735,434687399,1791297573,20807307670,372,1679,0,0,186527744,6bad1904105c,3834601472,3833393152,Container level,25962539,94160,11,8,1544642929,Process level,1101154,546199,2300.105,585,4800,152602,2753,0,4242,13,148360,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976032,51488,7740,156360,unavailable,1.75,45476,5845028,23011340,32939552,VM level,25962539,94160
2018_12_12__19_28_51.json,17,863098307,2792647639,1661387000,13916565444,978632930,918297166,883801801,2572222335,24501835187,390,2026,0,0,186531840,6bad1904105c,3845804032,3844038656,Container level,25962539,94160,11,8,1544642931,Process level,1103393,546769,2300.105,585,4800,152963,2753,0,4260,13,148703,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976040,51488,7741,156360,unavailable,1.85,45476,5845040,23000008,32939552,VM level,25962539,94160
2018_12_12__19_28_52.json,18,925402140,3847615131,1888821045,14759852956,1460462862,1017044008,1496620273,2981288177,28287704908,410,2380,0,0,186535936,6bad1904105c,3847925760,3844022272,Container level,25962539,94160,11,8,1544642932,Process level,1105608,547341,2300.105,585,4801,153335,2753,0,4278,13,149057,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976048,51488,7742,156364,unavailable,1.85,45476,5845048,22998568,32939552,VM level,25962539,94160
2018_12_12__19_28_53.json,19,1509034474,4734868519,2365990456,15557883890,1684338692,1084218754,2115118999,3098090371,32049293086,433,2730,0,0,186540032,6bad1904105c,3847925760,3843518464,Container level,25962539,94160,11,8,1544642933,Process level,1107811,547911,2300.105,585,4801,153709,2753,0,4300,13,149409,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976056,51488,7743,156364,unavailable,1.85,45476,5845056,22998184,32939552,VM level,25962539,94160
2018_12_12__19_28_54.json,20,2107769468,5500888604,2983173854,16330261423,2111145411,1148001774,2530720259,3179089312,35822626934,453,3083,0,0,186544128,6bad1904105c,3849052160,3846459392,Container level,25962539,94160,11,8,1544642934,Process level,1110033,548479,2300.105,585,4801,154087,2753,0,4324,13,149763,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976064,51488,7744,156364,unavailable,1.85,45476,5845064,22997672,32939552,VM level,25962539,94160
2018_12_12__19_28_55.json,21,2573922981,6271096426,3572744264,17248636715,2720995321,1231858870,2756967547,3243468997,39517740859,472,3428,0,0,186548224,6bad1904105c,3849052160,3843506176,Container level,25962539,94160,11,8,1544642935,Process level,1112215,549054,2300.105,585,4801,154446,2753,0,4342,13,150104,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6793,102968,11207599,976072,51488,7745,156364,unavailable,1.95,45476,5845072,22997476,32939552,VM level,25962539,94160
2018_12_12__19_28_57.json,23,2775793229,7092211592,3913895942,18291744227,3314022063,1290839473,3261217111,3306782599,43144826521,491,3765,0,0,186552320,6bad1904105c,3849052160,3845599232,Container level,25962539,94160,11,8,1544642937,Process level,1114435,549641,2300.105,585,4802,154806,2753,0,4362,13,150444,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976376,51488,7753,156364,unavailable,1.95,45484,5845080,22997648,32939552,VM level,25962539,94160
2018_12_12__19_28_58.json,24,3221318656,8164825039,4168702720,19035238267,3705534052,1356742332,3862411618,3370695459,46799344239,512,4105,0,0,186556416,6bad1904105c,3849596928,3846000640,Container level,25962539,94160,11,8,1544642938,Process level,1116699,550226,2300.105,585,4802,155166,2753,0,4382,13,150784,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976384,51488,7754,156364,unavailable,1.95,45484,5845088,22997024,32939552,VM level,25962539,94160
2018_12_12__19_28_59.json,25,3806717784,8835596799,4792105004,19925656804,4268012006,1423577106,3995358543,3442776272,50419326276,531,4443,0,0,186560512,6bad1904105c,3850170368,3846467584,Container level,25962539,94160,11,8,1544642939,Process level,1118861,550812,2300.105,585,4802,155522,2753,0,4401,13,151121,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976392,51488,7755,156368,unavailable,1.95,45484,5845096,22997120,32939552,VM level,25962539,94160
2018_12_12__19_29_00.json,26,4411069698,9755293366,5265659193,20730369459,4430191316,1506241207,4525641008,3525869209,54060701867,550,4781,0,0,186564608,6bad1904105c,3850170368,3845087232,Container level,25962539,94160,11,8,1544642940,Process level,1121051,551396,2300.105,585,4802,155882,2753,0,4421,13,151461,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976400,51488,7756,156372,unavailable,2.03,45484,5845104,22996308,32939552,VM level,25962539,94160
2018_12_12__19_29_01.json,27,4518159119,10295896283,6166556846,21632589781,5043275459,2035451601,4644590308,3578257902,57825555702,569,5135,0,0,186568704,6bad1904105c,3850170368,3846832128,Container level,25962539,94160,11,8,1544642941,Process level,1123355,551970,2300.105,585,4802,156254,2753,0,4441,13,151813,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976408,51488,7757,156372,unavailable,2.03,45484,5845112,22996672,32939552,VM level,25962539,94160
2018_12_12__19_29_02.json,28,4611015204,10473351973,6981378154,22658256002,5793061246,2633992979,4718182656,3638096117,61406505461,590,5471,0,0,186572800,6bad1904105c,3850170368,3849084928,Container level,25962539,94160,11,8,1544642942,Process level,1125534,552557,2300.105,585,4803,156609,2753,0,4460,13,152149,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976416,51488,7758,156376,unavailable,2.03,45484,5845120,22995824,32939552,VM level,25962539,94160
2018_12_12__19_29_04.json,30,4668996111,10899481123,7857544270,23400030056,6556767240,3202921656,4785777453,3720727135,65023701831,605,5808,0,0,186576896,6bad1904105c,3850170368,3846144000,Container level,25962539,94160,11,8,1544642944,Process level,1127774,553145,2300.105,585,4803,156964,2753,0,4476,13,152488,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976424,51488,7759,156376,unavailable,2.03,45484,5845128,22995388,32939552,VM level,25962539,94160
2018_12_12__19_29_05.json,31,4742050480,11479744589,8581542769,24149277333,7587408605,3471479143,4877226201,3796071936,68596313306,626,6138,0,0,186580992,6bad1904105c,3850285056,3846529024,Container level,25962539,94160,11,8,1544642945,Process level,1129968,553740,2300.105,585,4803,157312,2753,0,4495,13,152817,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976432,51488,7760,156376,unavailable,2.03,45484,5845136,22995620,32939552,VM level,25962539,94160
2018_12_12__19_29_06.json,32,5329174491,11571387788,9077442005,25036173000,8151225833,4309807710,4941778512,3878688245,72206423337,644,6474,0,0,186585088,6bad1904105c,3850772480,3848396800,Container level,25962609,94160,11,8,1544642946,Process level,1132174,554327,2300.105,585,4803,157669,2753,0,4516,13,153153,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976440,51488,7761,156376,unavailable,2.35,45484,5845144,22996056,32939552,VM level,25962609,94160
2018_12_12__19_29_07.json,33,5679807719,11632902260,9270760316,25856627504,8604954474,5388988443,5556929060,3953216547,75842850785,668,6813,0,0,186589184,6bad1904105c,3851329536,3848704000,Container level,25962609,94160,11,8,1544642947,Process level,1134397,554904,2300.105,585,4804,158030,2753,0,4536,13,153494,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976472,51488,7765,156376,unavailable,2.35,45484,5845152,22993928,32939552,VM level,25962609,94160
2018_12_12__19_29_08.json,34,5910634867,11717962270,9702526102,26739590388,9198680579,6127952746,6146893260,4014525456,79478965039,689,7151,0,0,186593280,6bad1904105c,3851538432,3850514432,Container level,25962609,94160,11,8,1544642948,Process level,1136571,555486,2300.105,585,4804,158390,2753,0,4559,13,153831,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976480,51488,7766,156376,unavailable,2.35,45484,5845160,22994180,32939552,VM level,25962609,94160
2018_12_12__19_29_10.json,36,6426437095,11782574907,10323511661,27482071523,9793334473,6906148661,6408939403,4089726961,83099653142,710,7488,0,0,186597376,6bad1904105c,3851608064,3847774208,Container level,25962609,94160,11,8,1544642950,Process level,1138768,556066,2300.105,585,4804,158751,2753,0,4581,13,154170,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976488,51488,7767,156376,unavailable,2.35,45484,5845168,22993356,32939552,VM level,25962609,94160
2018_12_12__19_29_11.json,37,7020624883,11867121814,10927004964,28433843136,10110531815,7624081319,6753556946,4170756164,86805560640,728,7834,0,0,186601472,6bad1904105c,3851608064,3846696960,Container level,25962609,94160,11,8,1544642951,Process level,1141026,556654,2300.105,585,4804,159116,2753,0,4602,13,154514,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976496,51488,7768,156376,unavailable,2.4,45484,5845176,22995540,32939552,VM level,25962609,94160
2018_12_12__19_29_12.json,38,7546941033,11928673011,11262883888,29155172194,10398565414,8649657019,7361968193,4245219941,90459081891,747,8176,0,0,186605568,6bad1904105c,3851608064,3848830976,Container level,25962609,94160,11,8,1544642952,Process level,1143208,557236,2300.105,585,4804,159473,2753,0,4619,13,154854,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976544,51488,7774,156380,unavailable,2.4,45484,5845184,22995248,32939552,VM level,25962609,94160
2018_12_12__19_29_13.json,39,7761569174,11996155413,11540197163,30147429933,10969244059,9536033655,7967242711,4312539993,94140298804,770,8518,0,0,186609664,6bad1904105c,3851608064,3848310784,Container level,25962609,94160,11,8,1544642953,Process level,1145441,557813,2300.105,585,4805,159839,2753,0,4642,13,155197,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976552,51488,7775,156380,unavailable,2.4,45484,5845192,22995620,32939552,VM level,25962609,94160
2018_12_12__19_29_14.json,40,8154749580,12054546386,12075005385,30906792890,11558374029,10248669401,8382329379,4377000692,97690876697,793,8848,0,0,186613760,6bad1904105c,3852288000,3850866688,Container level,25962609,94160,11,8,1544642954,Process level,1147657,558397,2300.105,585,4805,160196,2753,0,4664,13,155532,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976560,51488,7776,156384,unavailable,2.4,45484,5845200,22995040,32939552,VM level,25962609,94160
2018_12_12__19_29_15.json,41,8747555556,12146373050,12651021842,31809131715,12037908528,10980526993,8578774335,4431566784,101271147835,809,9182,0,0,186617856,6bad1904105c,3852288000,3845877760,Container level,25962609,94160,11,8,1544642955,Process level,1149829,558986,2300.105,585,4805,160543,2753,0,4683,13,155860,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976568,51488,7777,156384,unavailable,2.45,45484,5845208,22996164,32939552,VM level,25962609,94160
2018_12_12__19_29_17.json,43,9353515343,12209221798,13174395652,32667246903,12221702096,11794158726,9077626440,4493870853,104902369627,831,9522,0,0,186621952,6bad1904105c,3852288000,3849613312,Container level,25962609,94160,11,8,1544642957,Process level,1152043,559583,2300.105,585,4805,160904,2753,0,4703,13,156201,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977112,51488,7816,156384,unavailable,2.45,45484,5845216,22994224,32939552,VM level,25962609,94160
2018_12_12__19_29_18.json,44,9743450010,12272351598,13395981113,33447619793,12652656187,12862452723,9682179905,4572632527,108537627344,848,9863,0,0,186626048,6bad1904105c,3852288000,3847245824,Container level,25962609,94160,11,8,1544642958,Process level,1154255,560165,2300.105,585,4806,161264,2753,0,4721,13,156543,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977120,51488,7817,156384,unavailable,2.45,45484,5845224,22995568,32939552,VM level,25962609,94160
2018_12_12__19_29_19.json,45,10262907417,12346434845,13804881563,33544918766,13240331038,13563018540,10287393419,5156357769,112136167868,864,10199,0,0,186630144,6bad1904105c,3852484608,3846492160,Container level,25962609,94160,11,8,1544642959,Process level,1156397,560749,2300.105,585,4806,161615,2753,0,4737,13,156878,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977128,51488,7818,156384,unavailable,2.45,45484,5845232,22995100,32939552,VM level,25962609,94160
2018_12_12__19_29_20.json,46,10446993575,12416628358,14436391324,34077577954,13830832337,14463224763,10756793456,5452436320,115791458165,881,10540,0,0,186634240,6bad1904105c,3852484608,3847352320,Container level,25962609,94160,11,8,1544642960,Process level,1158697,561339,2300.105,585,4806,161972,2753,0,4754,13,157218,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977136,51488,7819,156384,unavailable,2.49,45484,5845240,22995592,32939552,VM level,25962609,94160
2018_12_12__19_29_21.json,47,10995244239,12915235318,15031829683,34672740505,14145557566,15017183405,10946330454,5768623493,119403636135,901,10878,0,0,186638336,6bad1904105c,3852484608,3848564736,Container level,25962609,94160,11,8,1544642961,Process level,1160853,561933,2300.105,585,4806,162332,2753,0,4773,13,157559,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977144,51488,7820,156384,unavailable,2.49,45484,5845248,22994564,32939552,VM level,25962609,94160
2018_12_12__19_29_23.json,49,11605094090,13530609463,15381108512,35203650571,14421592533,15203211480,11433204394,6371619594,123060592094,917,11222,0,0,186642432,6bad1904105c,3852484608,3848237056,Container level,25962609,94160,11,8,1544642963,Process level,1163221,562512,2300.105,585,4806,162693,2753,0,4791,13,157902,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977248,51488,7828,156384,unavailable,2.49,45484,5845256,22994964,32939552,VM level,25962609,94160
2018_12_12__19_29_24.json,50,11982301967,14102930754,15639290785,35412028329,15005463965,15657814083,12056681424,7003998416,126770059498,934,11568,0,0,186646528,6bad1904105c,3852484608,3848822784,Container level,25962609,94160,11,8,1544642964,Process level,1165438,563088,2300.105,585,4807,163056,2753,0,4808,13,158248,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977256,51488,7829,156384,unavailable,2.49,45484,5845264,22994996,32939552,VM level,25962609,94160
